,id,name,symbol,slug,tags,cmcRank,marketPairCount,circulatingSupply,totalSupply,maxSupply,isActive,lastUpdated,dateAdded,quotes,isAudited,auditInfoList,platform
0,1,Bitcoin,BTC,bitcoin,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",1,8911,18787868.0,18787868.0,21000000.0,1,2021-08-16T13:36:02.000Z,2013-04-28T00:00:00.000Z,"[{'name': 'USD', 'price': 46980.9570430447, 'volume24h': 32325508548.99251, 'marketCap': 882672019438.394, 'percentChange1h': -0.89412045, 'percentChange24h': 2.38578241, 'percentChange7d': 2.55016743, 'lastUpdated': '2021-08-16T13:36:02.000Z', 'percentChange30d': 49.48642246, 'percentChange60d': 20.97940199, 'percentChange90d': 7.10290107, 'fullyDilluttedMarketCap': 986600097903.94, 'marketCapByTotalSupply': 882672019438.394, 'dominance': 43.466, 'turnover': 0.03662233, 'ytdPriceChangePercentage': 59.9398}]",False,,
1,1027,Ethereum,ETH,ethereum,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",2,5589,117128548.999,117128548.999,,1,2021-08-16T13:36:02.000Z,2015-08-07T00:00:00.000Z,"[{'name': 'USD', 'price': 3260.8834477185255, 'volume24h': 23209532999.87964, 'marketCap': 381942546686.1273, 'percentChange1h': -0.62606375, 'percentChange24h': 3.40671602, 'percentChange7d': 4.0412519, 'lastUpdated': '2021-08-16T13:36:02.000Z', 'percentChange30d': 74.56530707, 'percentChange60d': 36.5228548, 'percentChange90d': -4.50555625, 'fullyDilluttedMarketCap': 381942546686.13, 'marketCapByTotalSupply': 381942546686.1273, 'dominance': 18.8082, 'turnover': 0.06076708, 'ytdPriceChangePercentage': 346.4716}]",False,,
2,1839,Binance Coin,BNB,binance-coin,"['marketplace', 'centralized-exchange', 'payments', 'binance-smart-chain', 'alameda-research-portfolio', 'multicoin-capital-portfolio']",3,547,168137036.0,168137036.0,168137036.0,1,2021-08-16T13:36:06.000Z,2017-07-25T00:00:00.000Z,"[{'name': 'USD', 'price': 430.1805527486783, 'volume24h': 2401112637.2983437, 'marketCap': 72329283084.00443, 'percentChange1h': -0.11857698, 'percentChange24h': 7.20797917, 'percentChange7d': 21.2096375, 'lastUpdated': '2021-08-16T13:36:06.000Z', 'percentChange30d': 43.39562476, 'percentChange60d': 21.14994661, 'percentChange90d': -16.3483991, 'fullyDilluttedMarketCap': 72329283084.0, 'marketCapByTotalSupply': 72329283084.00443, 'dominance': 3.5618, 'turnover': 0.03319696, 'ytdPriceChangePercentage': 1034.891}]",True,"[{'coinId': '1839', 'auditor': 'CertiK', 'auditStatus': 2, 'score': 'N/A', 'auditTime': '2019-07-31T00:00:00.000Z', 'reportUrl': 'https://cmc.certik-skynet.com/redirect?project=binance'}]",
3,2010,Cardano,ADA,cardano,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",4,288,32112187323.924,33005080086.445,45000000000.0,1,2021-08-16T13:35:07.000Z,2017-10-01T00:00:00.000Z,"[{'name': 'USD', 'price': 2.13867784978081, 'volume24h': 4914801459.582638, 'marketCap': 68677623737.68836, 'percentChange1h': -0.8419216, 'percentChange24h': 1.98902714, 'percentChange7d': 45.53489065, 'lastUpdated': '2021-08-16T13:35:07.000Z', 'percentChange30d': 84.58771684, 'percentChange60d': 42.37274093, 'percentChange90d': 5.21669925, 'fullyDilluttedMarketCap': 96240503240.14, 'marketCapByTotalSupply': 70587233711.12163, 'dominance': 3.3819, 'turnover': 0.07156336, 'ytdPriceChangePercentage': 1119.6628}]",False,,
4,825,Tether,USDT,tether,"['payments', 'stablecoin', 'stablecoin-asset-backed', 'binance-smart-chain', 'avalanche-ecosystem', 'solana-ecosystem']",5,16906,63646734130.548836,65468847059.56271,,1,2021-08-16T13:35:07.000Z,2015-02-25T00:00:00.000Z,"[{'name': 'USD', 'price': 1.00106153800264, 'volume24h': 80628366017.02798, 'marketCap': 63714297557.572334, 'percentChange1h': 0.02962629, 'percentChange24h': 0.01640745, 'percentChange7d': 0.07456174, 'lastUpdated': '2021-08-16T13:35:07.000Z', 'percentChange30d': 0.04801521, 'percentChange60d': 0.07605783, 'percentChange90d': -0.06284964, 'fullyDilluttedMarketCap': 65538344728.71, 'marketCapByTotalSupply': 65538344728.70546, 'dominance': 3.1375, 'turnover': 1.26546739, 'ytdPriceChangePercentage': -0.0853}]",True,"[{'coinId': '825', 'auditor': 'CertiK', 'auditStatus': 2, 'score': 'N/A', 'auditTime': '2019-04-01T00:00:00.000Z', 'reportUrl': 'https://cmc.certik-skynet.com/redirect?project=tether'}]","{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}"
5,52,XRP,XRP,xrp,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'binance-smart-chain', 'arrington-xrp-capital', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",6,632,46417606117.0,99990319777.0,100000000000.0,1,2021-08-16T13:36:03.000Z,2013-08-04T00:00:00.000Z,"[{'name': 'USD', 'price': 1.26041386222248, 'volume24h': 8043981888.614726, 'marketCap': 58505394201.04978, 'percentChange1h': -1.28050519, 'percentChange24h': 0.67464157, 'percentChange7d': 53.51733205, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 117.49127524, 'percentChange60d': 48.29318027, 'percentChange90d': -21.94061185, 'fullyDilluttedMarketCap': 126041386222.25, 'marketCapByTotalSupply': 126029185134.9894, 'dominance': 2.881, 'turnover': 0.13749129, 'ytdPriceChangePercentage': 430.8249}]",False,,
6,74,Dogecoin,DOGE,dogecoin,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",7,382,130882104449.32896,130882104449.32896,,1,2021-08-16T13:36:03.000Z,2013-12-15T00:00:00.000Z,"[{'name': 'USD', 'price': 0.33507832216377, 'volume24h': 8046794269.195651, 'marketCap': 43855755960.14445, 'percentChange1h': -2.66412969, 'percentChange24h': 13.31304034, 'percentChange7d': 30.08791261, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 94.74387034, 'percentChange60d': 8.73197933, 'percentChange90d': -31.06052194, 'fullyDilluttedMarketCap': 43855755960.14, 'marketCapByTotalSupply': 43855755960.14445, 'dominance': 2.1596, 'turnover': 0.1834832, 'ytdPriceChangePercentage': 5794.1193}]",False,,
7,3408,USD Coin,USDC,usd-coin,"['medium-of-exchange', 'stablecoin', 'stablecoin-asset-backed', 'binance-smart-chain', 'fantom-ecosystem']",8,1562,27637518831.97755,27637518831.97755,,1,2021-08-16T13:36:04.000Z,2018-10-08T00:00:00.000Z,"[{'name': 'USD', 'price': 1.00025180570265, 'volume24h': 2514097535.443376, 'marketCap': 27644478116.826538, 'percentChange1h': 0.02350659, 'percentChange24h': -0.00068316, 'percentChange7d': 0.05064139, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': -0.02315238, 'percentChange60d': -0.00177697, 'percentChange90d': -0.04432827, 'fullyDilluttedMarketCap': 27644478116.83, 'marketCapByTotalSupply': 27644478116.826538, 'dominance': 1.3613, 'turnover': 0.09094393, 'ytdPriceChangePercentage': 0.0429}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}"
8,6636,Polkadot,DOT,polkadot-new,"['substrate', 'polkadot', 'binance-chain', 'binance-smart-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kinetic-capital', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",9,229,986525689.4779533,1102249845.9031413,,1,2021-08-16T13:36:05.000Z,2020-08-19T00:00:00.000Z,"[{'name': 'USD', 'price': 24.81609345989054, 'volume24h': 1992754069.8050013, 'marketCap': 24481713710.667843, 'percentChange1h': -0.85812967, 'percentChange24h': 12.58884978, 'percentChange7d': 20.24464916, 'lastUpdated': '2021-08-16T13:36:05.000Z', 'percentChange30d': 106.08304074, 'percentChange60d': 6.57980131, 'percentChange90d': -36.37612544, 'fullyDilluttedMarketCap': 27353535192.08, 'marketCapByTotalSupply': 27353535192.082302, 'dominance': 1.2056, 'turnover': 0.08139765, 'ytdPriceChangePercentage': 198.7437}]",False,,
9,5426,Solana,SOL,solana,"['dpos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kinetic-capital', 'alameda-research-portfolio', 'multicoin-capital-portfolio']",10,115,286294943.9104251,501827854.59751797,,1,2021-08-16T13:36:04.000Z,2020-04-10T00:00:00.000Z,"[{'name': 'USD', 'price': 63.05897721033287, 'volume24h': 3183994076.9608216, 'marketCap': 18053466343.48102, 'percentChange1h': 0.86794544, 'percentChange24h': 35.4580258, 'percentChange7d': 60.51834095, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': 138.83393226, 'percentChange60d': 57.98843936, 'percentChange90d': 17.29203792, 'fullyDilluttedMarketCap': 31644751246.58, 'marketCapByTotalSupply': 31644751246.575123, 'dominance': 0.889, 'turnover': 0.17636469, 'ytdPriceChangePercentage': 3323.2411}]",False,,
